,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
323,0,NALCS,2016 Spring,FOX,CLG,70.8,69.0,83.2,46.0,69.9,29.2,57.5,20.4,23.9,45.1,1671,-670,-24,426,659,1280,1,4,1,1,0,0
324,0,NALCS,2016 Spring,TIP,REN,19.5,69.9,21.2,61.9,26.5,7.1,76.1,14.2,45.1,26.5,-1436,-1005,227,288,-885,-61,4,7,3,3,0,0
325,1,NALCS,2016 Spring,CLG,NRG,69.0,26.5,83.2,38.9,29.2,8.0,57.5,81.4,29.2,3.5,10676,1490,2503,1706,3538,1439,3,8,0,5,0,0
326,1,NALCS,2016 Spring,IMT,TSM,1.8,69.0,0.9,46.0,69.9,31.9,76.1,14.2,12.4,26.5,1469,1246,422,562,-764,3,1,2,3,3,0,0
327,0,NALCS,2016 Spring,DIG,TL,26.5,70.8,6.2,61.9,76.1,69.9,14.2,0.9,29.2,35.4,603,52,33,-83,134,467,5,3,1,2,0,0
328,1,NALCS,2016 Spring,C9,FOX,70.8,26.5,21.2,46.0,21.2,76.1,15.9,14.2,23.9,35.4,2673,313,929,204,735,492,0,5,2,2,0,0
329,1,NALCS,2016 Spring,REN,FOX,69.9,19.5,46.0,21.2,76.1,8.8,14.2,15.9,26.5,23.9,525,-325,-313,-245,955,453,5,3,1,2,0,0
330,1,NALCS,2016 Spring,TL,C9,70.8,26.5,36.3,21.2,14.2,26.5,76.1,15.9,35.4,58.4,4729,303,889,1632,1345,560,2,7,3,4,0,0
331,0,NALCS,2016 Spring,TIP,IMT,15.0,15.9,61.9,46.0,15.0,76.1,81.4,15.9,45.1,12.4,-3059,-1701,366,-2754,1040,-10,9,11,4,0,0,0
332,1,NALCS,2016 Spring,CLG,DIG,5.3,70.8,83.2,46.0,26.5,77.9,57.5,14.2,25.7,29.2,2774,479,1278,483,415,119,0,2,2,4,0,0
333,0,NALCS,2016 Spring,TSM,NRG,70.8,26.5,46.0,38.9,76.1,26.5,81.4,15.9,45.1,23.9,4442,651,1171,1663,911,46,1,5,2,3,0,0
334,0,NALCS,2016 Spring,TIP,REN,19.5,77.9,38.9,46.0,26.5,14.2,76.1,57.5,29.2,70.8,-1140,-1660,904,289,-606,-67,3,3,4,3,0,0
